foodId,label,category,foodContentsLabel,image
3760049790214,Pain De Mie Bio,"en:plant-based-foods-and-beverages, en:plant-based-foods, en:cereals-and-potatoes, en:cereals-and-their-products, en:breads, en:sliced-breads, en:packaged-breads, en:wholemeal-breads, en:wholemeal-sliced-breads","wheat flour* 44%, water, whole wheat flour* 13%, brown cane sugar*, yeast, rapeseed oil*, apple cider vinegar*, wheat bran*, salt, wheat gluten*, ascorbic acid, possible traces of soy",https://images.openfoodfacts.org/images/products/376/004/979/0214/front_en.262.400.jpg
3760049798609,Pain de mie grandes tranches Seigle & Graines 500g,"en:plant-based-foods-and-beverages, en:plant-based-foods, en:cereals-and-potatoes, en:cereals-and-their-products, en:breads, en:sliced-breads","Farine de BLÉ* 41 % , eau, graines de lin brun 6,1 %, graines de lin jaune 6,1 %, graines de tournesol décortiquées 6 %, farine de SEIGLE 5,1 %, GLUTEN DE BLÉ, farine d'ORGE maltée torréfiée, levure, extrait de malt d'ORGE, sel, vinaigre, arôme naturel (contient alcool), conservateur : propionate de calcium, jus d'acérola déshydraté. Traces éventuelles d'œufs, lait, graines de sésame, soja et moutarde. * Ingrédient issu du commerce équitable français.",https://images.openfoodfacts.org/images/products/376/004/979/8609/front_en.140.400.jpg
3228857002344,Pain de mie american sandwich complet sans sucres ajoutés 600g,"en:plant-based-foods-and-beverages, en:plant-based-foods, en:cereals-and-potatoes, en:cereals-and-their-products, en:breads, en:sliced-breads, en:wholemeal-breads, en:wholemeal-sliced-breads","Farine complète de BLÉ 39,3%, eau, farine de BLÉ 26,7%, huile de colza, fibre de chicorée, arôme (contient alcool), sel, vinaigre, farine de SEIGLE maltée, levure, gluten de BLÉ, levure désactivée, extrait d'acérola. Peut contenir des traces d'OEUFS, SOJA, LAIT, FRUITS À COQUE et GRAINES DE SÉSAME.",https://images.openfoodfacts.org/images/products/322/885/700/2344/front_fr.105.400.jpg
7311070032611,KRISPROLLS Complets,"en:plant-based-foods-and-beverages, en:plant-based-foods, en:cereals-and-potatoes, en:cereals-and-their-products, en:breads, en:rusks, en:toasts, en:toasted-bread-rolls, fr:petit-pain-grille-suedois-sans-sucre, fr:petit-pain-suedois-sans-sucre","Farine de blé complet* (62%), farine de blé*, huile de colza*, huile de colza totalement hydrogénée, malt d'orge, levure, sel.",https://images.openfoodfacts.org/images/products/731/107/003/2611/front_en.91.400.jpg
3029330022428,14 Maxi Tranches complet sans sucres ajoutés,"en:plant-based-foods-and-beverages, en:plant-based-foods, en:cereals-and-potatoes, en:cereals-and-their-products, en:breads, en:sliced-breads, en:wholemeal-breads, en:wholemeal-sliced-breads","Farine complète de blé (63%), eau, farine de blé (2,2%), huile de colga, Levure, arôme naturel (contient alcool), sel, farine de maïs fermentée, gluten de blé, jus d'acérola en poudre. Contient des sucres naturellement présents. Une recette sans huile de palme pour des pains de mie moelleux. Con vient à un régime végétalien. pour 1 portion %AR* pour (1 tranche ÉTIQUETAGE NUTRITIONNEL 100 g par =39,3g) portion 410 97 f Valeur 1020 kJ énergétique",https://images.openfoodfacts.org/images/products/302/933/002/2428/front_fr.180.400.jpg
3760049794298,Pain de mie Bio grandes tranches céréales & graines 500g,"en:plant-based-foods-and-beverages, en:plant-based-foods, en:cereals-and-potatoes, en:cereals-and-their-products, en:breads, en:sliced-breads, en:multigrain-sliced-breads, en:packaged-breads","Farine de BLÉ*/** 56%, eau, levure, huile de tournesol*/** 4,5%, sucre de canne roux*, levure, graines de tournesol décortiquées* 3,4%, vinaigre de cidre*, flocons de BLÉ* 2,8 %, graines de lin brun* 2,8%, farine de SEIGLE * 1,6 %, graines de millet décortiquées* 1,6 %, GLUTEN DE BLÉ*, sel, farine d'ORGE maltée torréfiée* 0,2%, levure désactivée, agent de traitement de la farine : acide ascorbique. Traces éventuelles d'œufs, soja, lait, moutarde et graines de sésame. *Ingrédients issus de l'Agriculture Biologique. **Ingrédients issus du commerce équitable Français.",https://images.openfoodfacts.org/images/products/376/004/979/4298/front_fr.194.400.jpg
7300400481595,AUTHENTIQUE,"en:plant-based-foods-and-beverages, en:plant-based-foods, en:snacks, en:breakfasts, en:cereals-and-potatoes, en:cereals-and-their-products, en:breads, en:rusks, en:crispbreads, fr:pain-croquant","Farine complète de SEIGLE (77 g*), farine de SEIGLE (28 g*), levure, sel. Peut contenir des traces de LUPIN, LAIT, MOUTARDE, GRAINES DE SÉSAME et SOJA. *en g pour 100 g de produit.",https://images.openfoodfacts.org/images/products/730/040/048/1595/front_fr.249.400.jpg
7300400481588,FIBRES,"en:plant-based-foods-and-beverages, en:plant-based-foods, en:snacks, en:cereals-and-potatoes, en:salty-snacks, en:appetizers, en:cereals-and-their-products, en:chips-and-fries, en:crisps, en:breads, en:extruded-crispbreads, en:crispbreads, en:crispbreads-wholemeal, en:extruded-and-grilled-crispbread","Farine complète de SEIGLE 59 g*, son de BLÉ 27 g*, flocons d'AVOINE 12 g*, GRAINES DE SÉSAME 7,0 g*, germe de BLÉ, sel. *en g pour 100 g de produit fini. Peut contenir des traces de LUPIN, LAIT, MOUTARDE et SOJA.",https://images.openfoodfacts.org/images/products/730/040/048/1588/front_en.269.400.jpg
3760049791006,tartine de campagne,"en:plant-based-foods-and-beverages, en:plant-based-foods, en:cereals-and-potatoes, en:breads, en:pains-de-campagne, fr:pain-de-mie-de-campagne","Farine de BLÉ* 57 %, eau, huile de colza, GLUTEN DE BLÉ, levure, semoule de BLÉ dur, levains de BLÉ dévitalisés, sel, arôme naturel (contient alcool), conservateur : propionate de calcium, farine de SEIGLE, farine d'ORGE maltée torréfiée, levure désactivée, farine de BLÉ malté torréfié, antioxydant : acide ascorbique. Traces éventuelles d'œufs, soja et lait.* Ingrédient issu du commerce équitable français.",https://images.openfoodfacts.org/images/products/376/004/979/1006/front_fr.144.400.jpg
3228857000166,100% mie complet 500g,"en:plant-based-foods-and-beverages, en:plant-based-foods, en:cereals-and-potatoes, en:cereals-and-their-products, en:breads, en:sliced-breads, en:sliced-breads-without-crust, en:wholemeal-breads, en:wholemeal-sliced-breads","Farine complète de BLÉ 36%, eau, farine de BLÉ 24%, huile de colza, sucre, arôme (contient alcool), sel, vinaigre, farine de SEIGLE maltée, levure, gluten de BLÉ, extrait d'acérola. Peut contenir des traces d'OEUFS, SOJA, LAIT, FRUITS À COQUE et GRAINES DE SÉSAME.",https://images.openfoodfacts.org/images/products/322/885/700/0166/front_fr.1858.400.jpg
